County,City,State,Postal.Code,Model.Year,Make,Model,Electric.Vehicle.Type,Electric.Range
Kitsap,Seabeck,WA,98380,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42
Kitsap,Bremerton,WA,98312,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
King,Seattle,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
King,Seattle,WA,98125,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Thurston,Yelm,WA,98597,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Snohomish,Lynnwood,WA,98036,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
Kitsap,Poulsbo,WA,98370,2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),31
Snohomish,Arlington,WA,98223,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),0
King,Kent,WA,98031,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291
King,Kirkland,WA,98034,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Kitsap,Bremerton,WA,98337,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Thurston,Tumwater,WA,98501,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),76
Yakima,Yakima,WA,98908,2016,KIA,SOUL,Battery Electric Vehicle (BEV),93
Thurston,Centralia,WA,98531,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53
King,Seattle,WA,98117,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16
Snohomish,Lynnwood,WA,98087,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
Thurston,Olympia,WA,98512,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),32
King,Kirkland,WA,98034,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249
King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
King,Duvall,WA,98019,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Thurston,Olympia,WA,98506,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35
King,Seattle,WA,98102,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),97
Snohomish,Lake Stevens,WA,98258,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Yakima,Yakima,WA,98902,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Thurston,Olympia,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Yakima,Selah,WA,98942,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),83
Yakima,Zillah,WA,98953,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Snohomish,Bothell,WA,98021,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151
Kitsap,Kingston,WA,98346,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
Kitsap,Poulsbo,WA,98370,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),34
Kitsap,Bremerton,WA,98312,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17
Thurston,Olympia,WA,98502,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
Kitsap,Bremerton,WA,98311,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
King,Seattle,WA,98122,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Snohomish,Bothell,WA,98021,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
Thurston,Olympia,WA,98501,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239
Snohomish,Bothell,WA,98012,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238
King,Seattle,WA,98103,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Kitsap,Port Orchard,WA,98367,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75
King,Seattle,WA,98199,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),40
Yakima,Yakima,WA,98902,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25
Thurston,Tumwater,WA,98512,2022,KIA,EV6,Battery Electric Vehicle (BEV),0
Kitsap,Port Orchard,WA,98366,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208
Thurston,Lacey,WA,98503,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22
Thurston,Olympia,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220
Thurston,Olympia,WA,98501,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25
King,Seattle,WA,98144,2020,KIA,NIRO,Battery Electric Vehicle (BEV),239
Thurston,Tumwater,WA,98501,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),0
Kitsap,Hansville,WA,98340,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238
King,Redmond,WA,98052,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215
Kitsap,Poulsbo,WA,98370,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),13
Kitsap,Poulsbo,WA,98370,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),0
King,Bellevue,WA,98008,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73
King,Seattle,WA,98133,2015,FIAT,500,Battery Electric Vehicle (BEV),87
King,Seattle,WA,98119,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84
Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266
